accuracy,f1_score,precision,recall,model
0.5028142589118199,0.5947126939043041,0.5075517434271862,0.7180163545238724,LSTM
0.5085097829000268,0.6674223532078893,0.5085331306570856,0.9707201266156686,LSTM
0.5085097829000268,0.6674223532078893,0.5085331306570856,0.9707201266156686,LSTM
0.508107745912624,0.6738058209286825,0.5080747838906386,1.0,SRNN
0.5075046904315197,0.649164677804296,0.5086774386594853,0.8968609865470852,LSTM
0.5078397212543554,0.6733958824314109,0.5079492855705373,0.9986810867844896,SRNN
0.5076387027606539,0.6730735006228866,0.5078555122868269,0.9976259562120813,CNN
0.5077057089252212,0.6328152331450847,0.5094552184758993,0.8350039567396466,CNN
0.5111900294827124,0.6400907790221521,0.5113107905730275,0.855579002901609,LSTM
0.5065666041275797,0.6688551128698624,0.5074372270742358,0.9808757583750989,SRNN
0.5080407397480569,0.6733113820414701,0.508058017727639,0.9978897388551833,LSTM
0.5057625301527741,0.6458613405031688,0.507775932356938,0.8871010287523081,LSTM
0.5079737335834896,0.6737169517884914,0.5080077732359445,0.999868108678449,CNN
0.5078397212543554,0.6734539634552972,0.5079471531084434,0.9989448694275916,CNN
0.5080407397480569,0.6737758819870256,0.5080407397480569,1.0,CNN
0.508107745912624,0.6717345615525645,0.5081523577565794,0.990635716169876,LSTM
0.5035185309295623,0.5986564091450861,0.5079058650487221,0.728891820580475,LSTM
0.5101534749681657,0.5969671905155776,0.5128375177640928,0.7141160949868074,SRNN
0.512432142617787,0.6003406031972752,0.5143556434152311,0.720844327176781,LSTM
0.49641444943368407,0.32464497573251844,0.5093062605752962,0.23825857519788918,LSTM
0.5065344145834729,0.6638360042003378,0.5075752286532151,0.9591029023746702,CNN
0.4919592602519432,0.0,0.0,0.0,CNN
0.5075046904315197,0.6549619754013708,0.5084548104956268,0.9200738591400686,LSTM
0.4919592602519432,0.0,0.0,0.0,CNN
0.5059635486464755,0.43884618311895884,0.5188051106712255,0.3802426800316539,CNN
0.5018091664433127,0.35510451903894524,0.5186217380288827,0.26998153521498286,CNN
0.4997319753417314,0.39712532299741604,0.5120783007080383,0.32432075969401214,LSTM
0.49591262396140445,0.42054994993452977,0.5054619514904647,0.3600633078343445,CNN
0.4993969445188957,0.377157148812005,0.512576478585996,0.29833816934845686,LSTM
0.493299383543286,0.011761630946157868,0.6428571428571429,0.005935109469796887,SRNN
0.4916242294291075,0.0034152108235912257,0.41935483870967744,0.0017145871801635452,SRNN
0.5080407397480569,0.6737758819870256,0.5080407397480569,1.0,LSTM
0.5088142636905959,0.6504817323285319,0.5093747665645776,0.8997229185908431,LSTM
0.5137743816609692,0.6507462686567165,0.5123190053824578,0.8916743633724766,SRNN
0.5082780347208258,0.6734330484330483,0.5081625797783003,0.9980208470774509,CNN
0.5082780347208258,0.6736364445235341,0.5081549097254849,0.9989444517746404,CNN
0.5079428916147195,0.6736898253100413,0.5079769406086607,0.9998680564718301,LSTM
0.5080099202359407,0.6737487776691261,0.5080099202359407,1.0,LSTM
0.5087472350693746,0.6734975720586269,0.5084073177293517,0.9973611294366012,LSTM
0.5072726054025068,0.6494683133851509,0.5085125448028673,0.8985354268373136,LSTM
0.5084791205844896,0.6683251164684065,0.5084652443220922,0.9747987861195408,LSTM
0.5127019237214291,0.6331987891019173,0.5126215178498489,0.827945639266394,SRNN
0.5066693478115155,0.6521739130434783,0.5080627347028938,0.9104103443726085,CNN
0.5080099202359407,0.6736907619809727,0.5080120683875293,0.9997361129436602,LSTM
0.4945371673704672,0.11542521994134898,0.5200845665961945,0.06491621585961209,LSTM
0.5080099202359407,0.6737487776691261,0.5080099202359407,1.0,LSTM
0.5080099202359407,0.6737487776691261,0.5080099202359407,1.0,CNN
0.5080099202359407,0.6737487776691261,0.5080099202359407,1.0,CNN
0.5080099202359407,0.6737487776691261,0.5080099202359407,1.0,LSTM
0.49199007976405923,0.0,0.0,0.0,CNN
0.5056639184931966,0.6496270606679653,0.5075723830734966,0.9020979020979021,CNN
0.5026476305382398,0.6562905317769131,0.5056749232636163,0.9346879535558781,CNN
0.5041892888263289,0.6296500275371751,0.507342262385025,0.8296609051326033,CNN
0.5080099202359407,0.6737487776691261,0.5080099202359407,1.0,LSTM
0.5074736912661707,0.6572121664489644,0.5083351374756441,0.9294102124290804,SRNN
0.5080099202359407,0.6737487776691261,0.5080099202359407,1.0,LSTM
0.5080099202359407,0.6737487776691261,0.5080099202359407,1.0,CNN-LSTM
0.5080099202359407,0.6737487776691261,0.5080099202359407,1.0,CNN-LSTM
0.5074736912661707,0.6572121664489644,0.5083351374756441,0.9294102124290804,SRNN
0.5041892888263289,0.6296500275371751,0.507342262385025,0.8296609051326033,CNN
0.5076077485086132,0.670642037302726,0.507911714770798,0.9868056471830057,LSTM
0.5076077485086132,0.670642037302726,0.507911714770798,0.9868056471830057,LSTM
0.5078758629934982,0.6736308677098151,0.50794395655963,0.9997361129436602,CNN-SRNN
0.5078758629934982,0.6736308677098151,0.50794395655963,0.9997361129436602,CNN-SRNN
