accuracy,f1_score,precision,recall,model
0.5042213883677298,0.37386815604637386,0.5019313792319927,0.2978694714131607,LSTM
0.5156794425087108,0.46696165191740413,0.5152994791666666,0.42691477885652646,LSTM
0.5156794425087108,0.46696165191740413,0.5152994791666666,0.42691477885652646,LSTM
0.5091798445456982,0.4747974474797447,0.5069667738478028,0.4464670981661273,SRNN
0.5106539801661752,0.41308366149642367,0.5112393077382137,0.3465480043149946,LSTM
0.5112570356472795,0.47106598984771575,0.509570128647631,0.43797195253505933,SRNN
0.5099839185205038,0.33135229039041786,0.514626526554956,0.24433656957928804,CNN
0.5051594746716698,0.16581949621597197,0.510786360473208,0.09897518878101402,CNN
0.5052264808362369,0.0749185667752443,0.5282685512367491,0.04031823085221144,LSTM
0.5040873760385955,0.18284200066247103,0.5045703839122486,0.11165048543689321,SRNN
0.5049584561779684,0.08790123456790123,0.52046783625731,0.04800431499460626,LSTM
0.5035513267220584,0.05629856069290536,0.5080459770114942,0.029800431499460624,LSTM
0.502881265076387,0.017741294849728584,0.48905109489051096,0.009034519956850054,CNN
0.5037195898398231,0.0838797476184585,0.5067264573991032,0.04572430536822228,LSTM
0.5100864553314121,0.37596038927778724,0.512093023255814,0.2970056649581872,SRNN
0.512901280075062,0.3415473817720602,0.5201434878587197,0.25424871864041004,LSTM
0.504657864754373,0.38031357424331347,0.5025481941059162,0.30590774210952254,LSTM
0.5033174720193017,0.15021213163628025,0.5011476664116297,0.08834637172916104,CNN
0.5030822835700884,0.0,0.0,0.0,CNN
0.511458054140981,0.24594063501913332,0.5277407900577008,0.16032901833872706,LSTM
0.5030822835700884,0.0,0.0,0.0,CNN
0.5030822835700884,0.0,0.0,0.0,SRNN
0.501474135620477,0.27893002519868193,0.49586492074431426,0.19403991370010787,CNN
0.5030822835700884,0.0,0.0,0.0,LSTM
0.5061645671401769,0.19206314404735803,0.5134818288393904,0.11812297734627832,CNN
0.5030822835700884,0.0,0.0,0.0,LSTM
0.5030822835700884,0.0,0.0,0.0,LSTM
0.5030822835700884,0.0,0.0,0.0,LSTM
0.5081747520771911,0.16817769718948322,0.5269886363636364,0.1000539374325782,LSTM
0.5115250603055481,0.17645729778581112,0.5438718662952646,0.10531283710895362,LSTM
0.5142053068882337,0.27354709418837675,0.532371294851794,0.18406148867313915,LSTM
0.5098499061913696,0.20893262679788038,0.527580557072638,0.1302588996763754,LSTM
0.5073036719378183,0.15744242007562737,0.5240274599542334,0.09263754045307443,LSTM
0.5049584561779684,0.3408279800142755,0.5036919831223629,0.2575512405609493,CNN
0.5077727150897883,0.13860225140712945,0.5314748201438849,0.0796925566343042,LSTM
0.5030822835700884,0.0,0.0,0.0,SRNN
0.5030822835700884,0.0,0.0,0.0,SRNN
0.5024792280889842,0.04990403071017274,0.48872180451127817,0.026294498381877023,LSTM
0.5137743816609692,0.35139484978540775,0.5210819411296739,0.2650748684743019,LSTM
0.5129030095850928,0.38274016818143214,0.5167431192660551,0.3039255362201538,SRNN
0.503451973992895,0.014107000266169817,0.5247524752475248,0.007149602050451909,CNN
0.5031168308867887,0.0,0.0,0.0,CNN
0.5118975802667739,0.33667334669338683,0.5183730715287518,0.24929178470254956,LSTM
0.5169917554795898,0.36745084269662925,0.5260115606936416,0.28234183191690276,LSTM
0.5094845499028084,0.37506404782237407,0.5110542238771236,0.2962363415621206,LSTM
0.5122997519941015,0.3475609756097562,0.518320406525809,0.2614326183731283,LSTM
0.5147798109792882,0.39081040141378437,0.5194630872483221,0.3132335087009308,LSTM
0.5120986661304378,0.38980635426272114,0.5148361381753764,0.3136382031566168,LSTM
0.5122997519941015,0.3947762435534853,0.5148622260794099,0.32011331444759206,LSTM
0.512165694751659,0.3451502609321576,0.5182383139691975,0.2587346553352219,LSTM
0.5158522689188283,0.3850148999574287,0.5219298245614035,0.3050047214353163,LSTM
0.5145787251156244,0.4849950220452283,0.5128590765528651,0.4600026979630379,LSTM
0.5135062671760842,0.42859392221697373,0.5146530535072793,0.36719276945905843,LSTM
0.509618607145251,0.288049824834566,0.516940272441495,0.19964926480507217,LSTM
0.5141765533882968,0.3854502289299644,0.5188313170509016,0.30662349925806015,LSTM
0.5169247268583685,0.3784389823199655,0.5246293639406983,0.29596654525832994,LSTM
0.516790669615926,0.40963066087953487,0.5212588578574406,0.3373802778901929,LSTM
0.513707353039748,0.47666450263290777,0.5122480620155039,0.4457034938621341,LSTM
0.5145787251156244,0.33681318681318684,0.5243798118049615,0.2480777013354917,LSTM
0.5137743816609692,0.45654779742283486,0.5133951137320977,0.4110346688250371,LSTM
0.5170587841008111,0.37807509710832976,0.524928092042186,0.2954269526507487,LSTM
0.5160533547824921,0.3956135945086221,0.5212883300242664,0.31876433292863887,LSTM
0.5140424961458543,0.32670876671619614,0.5242921013412817,0.2372858491838662,LSTM
0.5130370668275354,0.42051527478663153,0.5144418423106948,0.35559152839606095,LSTM
0.512433809236544,0.3419576623846572,0.5190881625926943,0.254957507082153,LSTM
0.516790669615926,0.3352697095435685,0.5297202797202797,0.24524484014569,LSTM
0.5161203834037134,0.32005274559668456,0.5302746566791511,0.22919196007014703,LSTM
0.5169247268583685,0.39594334087670774,0.5227976980965029,0.31862943477674355,LSTM
0.5137743816609692,0.3463687150837989,0.5215739484396201,0.2592742479428032,LSTM
0.5187344996313425,0.35892857142857143,0.5307631370477951,0.27114528530959126,LSTM
0.5149138682217307,0.3634444542176093,0.5222446916076845,0.2786995818157291,LSTM
0.514243582009518,0.365467121968304,0.5207085828343313,0.2815324430055308,LSTM
