accuracy,f1_score,precision,recall,model
0.499966503651102,0.48785508439687114,0.48845836768342954,0.48725328947368424,LSTM
0.5087425470623702,0.28950683073345607,0.49388429752066115,0.20476973684210525,LSTM
0.5087425470623702,0.28950683073345607,0.49388429752066115,0.20476973684210525,LSTM
0.5102163864138809,0.025589764094362255,0.463768115942029,0.013157894736842105,SRNN
0.49574596368995777,0.5400549954170486,0.48726430697982137,0.6056743421052632,LSTM
0.5029811750519193,0.5366310661420274,0.4929432013769363,0.5888157894736842,SRNN
0.5085415689689824,0.43447425223558434,0.496476391825229,0.3862390350877193,CNN
0.5104843572050647,0.01774432047318188,0.46153846153846156,0.009046052631578948,CNN
0.4984926642995913,0.5192035966602441,0.4885182499395697,0.5540021929824561,LSTM
0.49721980304146846,0.5459495432270555,0.48868190187371385,0.618421052631579,SRNN
0.5001004890466939,0.5055003313452617,0.48935078265332305,0.5227521929824561,LSTM
0.4933342265693039,0.6036786668762774,0.4886739628404174,0.7894736842105263,LSTM
0.5108863133918403,0.1058175137783221,0.49712313003452246,0.05921052631578947,CNN
0.51122127688082,0.0,0.0,0.0,CNN
0.5110872914852281,0.0,0.0,0.0,CNN
0.498894620486367,0.5288485764676241,0.4892773892773893,0.5753837719298246,LSTM
0.49537657464486734,0.5989242157959206,0.48972304476572026,0.7708019191226868,LSTM
0.49597963012597157,0.5974957191780822,0.4900377424734486,0.765318711446196,SRNN
0.4921602787456446,0.6046632935162485,0.4880431121589761,0.7945167923235092,LSTM
0.5035513267220584,0.5283595391177033,0.49322557642025194,0.568882796435915,LSTM
0.5115250603055481,0.15193113075849232,0.5019215987701768,0.08951336531871144,CNN
0.51122127688082,0.0,0.0,0.0,CNN
0.49755476653044817,0.547156140562734,0.48899201381394347,0.6210252192982456,LSTM
0.51122127688082,0.0,0.0,0.0,CNN
0.4964158906679172,0.5885379604795008,0.4899298277590449,0.7368421052631579,CNN
0.4968178468546928,0.5722421550202176,0.4895254798791776,0.6885964912280702,CNN
0.5005694379312655,0.5621145374449339,0.4918285538082023,0.6558388157894737,LSTM
0.5004354525356736,0.5785338834567343,0.4922573819370972,0.7014802631578947,CNN
0.5024452334695518,0.5525094896668072,0.49295774647887325,0.6284265350877193,LSTM
0.51122127688082,0.0,0.0,0.0,SRNN
0.51122127688082,0.0002740476842970677,0.5,0.00013706140350877192,SRNN
0.49936356937093856,0.4968693193294284,0.4882890035728464,0.5057565789473685,LSTM
0.5125988473394987,0.4135150391097492,0.5020560015664773,0.35152179873868933,LSTM
0.5132689987937273,0.32191205302959575,0.5045361428153351,0.236358650945983,SRNN
0.511995711030693,0.013011656275413392,0.5714285714285714,0.006580751302440362,CNN
0.5107894384130813,0.009229098805646038,0.4594594594594595,0.004661365505895256,CNN
0.5162846803377563,0.17319587628865982,0.5264623955431755,0.1036468330134357,LSTM
0.5173569226645222,0.20507726269315674,0.5260475651189128,0.1273649574993145,LSTM
0.5155475137381048,0.11485245500183665,0.5372279495990836,0.06429942418426103,LSTM
0.5171558772282536,0.2165923670762205,0.5233841303205465,0.1365505895256375,LSTM
0.5120627261761158,0.05009784735812133,0.5175202156334232,0.026323005209761448,LSTM
0.5106554081222356,0.4676290463692038,0.49937714107754594,0.4396764463942967,SRNN
0.5102533172496985,0.08558558558558559,0.4899713467048711,0.04688785302988758,CNN
0.5111915292856185,0.0,0.0,0.0,LSTM
0.5111915292856185,0.0,0.0,0.0,LSTM
0.5180270741187508,0.3241871828603646,0.5152329749103942,0.2364957499314505,LSTM
0.48880847071438144,0.6566438602808786,0.48880847071438144,1.0,CNN
0.5111915292856185,0.0,0.0,0.0,CNN
0.5111915292856185,0.0,0.0,0.0,LSTM
0.5111915292856185,0.0,0.0,0.0,CNN
0.5108564535585042,0.0356718192627824,0.4909090909090909,0.01850836303811352,CNN
0.5100522718134298,0.060644995503019404,0.48261758691206547,0.03235536057033178,CNN
0.5113255595764643,0.10417690417690417,0.5011820330969267,0.058129969838223196,CNN
0.5123978019032301,0.06502184528398869,0.5184426229508197,0.03468604332327941,LSTM
0.513000938212036,0.03735594118426282,0.5529411764705883,0.019330956950918562,SRNN
0.5111915292856185,0.0,0.0,0.0,LSTM
0.5180270741187508,0.3241871828603646,0.5152329749103942,0.2364957499314505,CNN-LSTM
0.5180270741187508,0.3241871828603646,0.5152329749103942,0.2364957499314505,CNN-LSTM
0.513000938212036,0.03735594118426282,0.5529411764705883,0.019330956950918562,SRNN
0.5113255595764643,0.10417690417690417,0.5011820330969267,0.058129969838223196,CNN
0.5158825894652191,0.15310668229777258,0.5283171521035599,0.08952563751028242,LSTM
0.5158825894652191,0.15310668229777258,0.5283171521035599,0.08952563751028242,LSTM
0.5130679533574588,0.08649735981895901,0.5212121212121212,0.047162051000822595,CNN-SRNN
0.5130679533574588,0.08649735981895901,0.5212121212121212,0.047162051000822595,CNN-SRNN
